id,category,description,carbohydrate,kilocalories,protein,fat,fiber,sugar,carb_percentage,protein_percentage,fat_percentage,generic_category,nutritional_score
19892,FROZEN NOVELTIES,"FROZEN NOVELTIES,SUGAR FREE,CREAMSICLE POPS",11.9,49,1.4,2.3,7.5,0.430000007,64.41136671177267,7.577807848443842,28.01082543978349,sweets,79.46616917389504
19217,FROZEN NOVELTIES,"FROZEN NOVELTIES,ICE TYPE,FRUIT,NO SUGAR ADDED",6.2,24,0.5,0.1,0.0,0.0,89.53068592057762,7.220216606498195,3.249097472924188,sweets,76.89842620707614
43514,FROZEN NOVELTIES,"FROZEN NOVELTIES,ICE TYPE,POP,W/ LO CAL SWTNR",5.9,24,0.0,0.0,0.0,1.519999981,100.0,0.0,0.0,sweets,76.06279422149805
19281,FROZEN NOVELTIES,"FROZEN NOVELTIES,ICE TYPE,ITALIAN,REST-PREP",13.5,53,0.0,0.0,0.0,0.0,100.0,0.0,0.0,sweets,74.32662677143091
19891,FROZEN NOVELTIES,"FROZEN NOVELTIES,NO SUGAR ADDED CREAMSICLE POPS",14.5,57,1.8,0.9,0.300000012,2.75,79.1268758526603,9.822646657571624,11.050477489768076,sweets,73.73843921113011
19871,FROZEN NOVELTIES,"FROZEN NOVELTIES,NO SUGAR ADDED,FUDGESICLE POPS",22.3,105,3.6,1.0,1.600000024,3.930000067,79.21847246891652,12.788632326820604,7.992895204262878,sweets,71.06117164043759
19387,FROZEN NOVELTIES,"FROZEN NOVELTIES,ICE TYPE,PINEAPPLE-COCONUT",23.9,113,0.0,2.6,0.699999988,0.0,80.33613445378151,0.0,19.66386554621849,sweets,69.28038307603575
19283,FROZEN NOVELTIES,"FROZEN NOVELTIES,ICE TYPE,POP",19.2,79,0.0,0.2,0.0,13.65999985,97.70992366412214,0.0,2.290076335877863,sweets,66.62745438928947
19856,FROZEN NOVELTIES,"FROZEN NOVELTIES,JUC TYPE,POPSICLE SCRIBBLERS",19.7,81,0.0,0.2,0.0,14.56999969,97.7667493796526,0.0,2.2332506203473947,sweets,66.09605740991923
19263,FROZEN NOVELTIES,"FROZEN NOVELTIES,FRUIT & JUC BARS",20.2,87,1.2,0.1,1.0,17.47999954,93.41040462427743,5.5491329479768785,1.0404624277456649,sweets,65.68635440609718
19872,FROZEN NOVELTIES,"FROZEN NOVELTIES,FAT FREE FUDGESICLE BARS",26.9,127,5.5,0.7,1.700000048,20.10000038,79.17586460632818,16.188373804267844,4.635761589403973,sweets,63.77981508270129
43346,FROZEN NOVELTIES,"FROZEN NOVELTIES,JUC TYPE,ORANGE",23.2,95,0.5,0.0,0.100000001,19.98999977,97.8902953586498,2.109704641350211,0.0,sweets,63.11861134378909
19888,FROZEN NOVELTIES,"FROZEN NOVELTIES,KLONDIKE,SLIM-A-BEAR CHOC SNDWCH",44.1,212,6.2,2.4,4.800000191,21.5,79.17414721723519,11.131059245960502,9.694793536804308,sweets,58.2549086556072
19887,FROZEN NOVELTIES,"FROZEN NOVELTIES,KLONDIKE,SLIM-A-BEAR VANILLA SNDWCH",44.2,211,6.0,2.3,4.300000191,21.81999969,79.81941309255079,10.835214446952596,9.345372460496613,sweets,57.8086975228072
43269,FROZEN NOVELTIES,"FROZEN NOVELTIES,ICE CRM TYPE,SUNDAE,PREPACKAGED",29.4,185,4.3,6.0,0.300000012,20.73999977,62.28813559322034,9.110169491525424,28.60169491525424,sweets,56.031965271950185
19280,FROZEN NOVELTIES,"FROZEN NOVELTIES,ICE TYPE,LIME",32.6,128,0.4,0.0,0.0,32.59999847,98.7878787878788,1.2121212121212122,0.0,sweets,55.212559662164274
