category,description,carbohydrate,protein,fat,kilocalories,feedback,generic_category,carb_percentage,fat_percentage,protein_percentage,nutritional_score,original_category
CHEESE FD,"CHEESE FD,PAST PROCESS,SWISS",4.5,21.9,24.1,323,approvato,dairy,5.5813953488372094,67.25581395348837,27.162790697674417,57.21645323901512,CHEESE FD
CHEESE FD,"CHEESE FD,COLD PK,AMERICAN",8.3,19.7,24.5,331,approvato,dairy,9.984962406015038,66.3157894736842,23.69924812030075,55.399156476918805,CHEESE FD
CHEESE FD,"CHEESE FD,PAST PROCESS,AMERICAN,W/DI NA PO4",7.3,19.6,24.6,328,approvato,dairy,8.875379939209726,67.29483282674772,23.82978723404256,52.5555738899277,CHEESE FD
MUFFINS,"MUFFINS,OAT BRAN",48.3,7.0,7.4,270,approvato,bakedGoods,67.1299513551077,23.1410701876303,9.728978457261988,57.97906867457176,MUFFINS
MUFFINS,"MUFFINS,PLN,PREP FROM RECIPE,MADE W/LOFAT (2%) MILK",41.4,6.9,11.4,296,approvato,bakedGoods,55.98377281947261,34.68559837728195,9.330628803245435,56.94872651503852,MUFFINS
MUFFINS,"MUFFINS,BLUEBERRY,PREP FROM RECIPE,MADE W/LOFAT (2%) MILK",40.7,6.5,10.8,285,approvato,bakedGoods,56.92307692307693,33.98601398601399,9.090909090909092,56.0400781028367,MUFFINS
SOURSOP,"SOURSOP,RAW",16.8,1.0,0.3,66,rifiutato,fruits,90.9336941813261,3.653585926928281,5.412719891745602,70.33506422547013,SOURSOP
SHALLOTS,"SHALLOTS,RAW",16.8,2.5,0.1,72,rifiutato,vegetables,86.04353393085788,1.1523687580025608,12.804097311139564,73.9777706965642,SHALLOTS
APPLESAUCE,"APPLESAUCE,CND,SWTND,W/SALT",19.9,0.2,0.2,76,rifiutato,fruits,96.83698296836984,2.1897810218978107,0.9732360097323602,73.2881715099581,APPLESAUCE
APPLESAUCE,"APPLESAUCE,CND,UNSWTND,WO/ADDED VIT C (INCLUDES USDA COMMOD)",11.3,0.2,0.1,42,rifiutato,fruits,96.37526652452028,1.9189765458422177,1.705756929637527,72.19698200478933,APPLESAUCE
APPLESAUCE,"APPLESAUCE,CND,SWTND,WO/ SALT (INCLUDES USDA COMMODITY)",17.5,0.2,0.2,68,rifiutato,fruits,96.41873278236916,2.4793388429752072,1.1019283746556476,67.98637043272984,APPLESAUCE
GINKGO NUTS,"GINKGO NUTS,CANNED",22.1,2.3,1.6,111,rifiutato,nutsAndSeeds,78.92857142857143,12.857142857142856,8.214285714285714,76.38731161670215,GINKGO NUTS
GINKGO NUTS,"GINKGO NUTS,RAW",37.6,4.3,1.7,182,rifiutato,nutsAndSeeds,82.23072717331875,8.365226899945325,9.404045926735922,65.54032144397415,GINKGO NUTS
GINKGO NUTS,"GINKGO NUTS,DRIED",72.5,10.3,2.0,348,rifiutato,nutsAndSeeds,83.04696449026346,5.154639175257732,11.79839633447881,54.92049349047379,GINKGO NUTS
CARL BUDDIG,"CARL BUDDIG,SMOKED SLICED BF",0.6,19.3,6.5,139,rifiutato,meats,1.737871107892831,42.36060825488776,55.901520637219406,75.16225876471627,CARL BUDDIG
CARL BUDDIG,"CARL BUDDIG,CKD CORNED BF,CHOPD,PRESSED",1.0,19.3,6.8,142,rifiutato,meats,2.808988764044944,42.97752808988764,54.21348314606742,74.84585441774414,CARL BUDDIG
CARL BUDDIG,"CARL BUDDIG,SMOKED SLICED HAM",1.1,18.5,9.3,163,rifiutato,meats,2.7143738433066007,51.63479333744602,45.65083281924737,72.1442480705206,CARL BUDDIG
CARL BUDDIG,"CARL BUDDIG,SMOKED SLICED TURKEY,LT&DK MEAT",1.8,17.5,9.1,160,rifiutato,meats,4.525455688246386,51.47705845380264,43.99748585795098,71.94953770315314,CARL BUDDIG
CARL BUDDIG,"CARL BUDDIG,SMOKED SLICED CHICK,LT&DK MEAT",0.7,17.9,10.1,165,rifiutato,meats,1.693889897156685,54.99092558983666,43.315184513006656,71.49521351262905,CARL BUDDIG
VEGETABLES,"VEGETABLES,MXD,CND,SOL&LIQUIDS",7.1,1.4,0.2,36,rifiutato,vegetables,79.3296089385475,5.027932960893855,15.64245810055866,78.80496518972889,VEGETABLES
VEGETABLES,"VEGETABLES,MXD,FRZ,UNPREP",13.5,3.3,0.5,64,rifiutato,vegetables,75.31380753138075,6.276150627615063,18.410041841004183,77.5150090370731,VEGETABLES
VEGETABLES,"VEGETABLES,MXD (CORN,LIMA BNS,PEAS,GRN BNS,CRRT) CND,NO SALT",7.3,1.4,0.2,37,approvato,vegetables,79.78142076502733,4.918032786885247,15.300546448087433,77.291903311254,VEGETABLES
VEGETABLES,"VEGETABLES,MXD,CND,DRND SOL",9.3,2.6,0.2,49,approvato,vegetables,75.30364372469637,3.643724696356276,21.05263157894737,76.8375791823882,VEGETABLES
VEGETABLES,"VEGETABLES,MXD,FRZ,CKD,BLD,DRND,WO/SALT",13.1,2.9,0.1,65,approvato,vegetables,80.73959938366717,1.3867488443759628,17.873651771956855,76.33052107682303,VEGETABLES
OLIVES,"OLIVES,RIPE,CND (JUMBO-SUPER COLOSSAL)",5.6,1.0,6.9,81,approvato,fruits,25.31073446327684,70.16949152542374,4.519774011299435,72.48499121341365,OLIVES
OLIVES,"OLIVES,RIPE,CND (SMALL-EXTRA LRG)",6.3,0.8,10.7,115,approvato,fruits,20.20850040096231,77.22534081796312,2.5661587810745794,69.15868913537317,OLIVES
