id,category,description,carbohydrate,kilocalories,protein,fat,carb_percentage,protein_percentage,fat_percentage,original_category,generic_category,nutritional_score
8262,CEREALS RTE,"CEREALS RTE,GENERAL MILLS,BASIC 4",80.0,382,7.3,5.5,80.26084775520441,7.323802357662402,12.415349887133182,CEREALS RTE,cereals,
8263,CEREALS RTE,"CEREALS RTE,GENERAL MILLS,APPL CINN CHEERIOS",83.3,400,6.7,5.0,82.27160493827161,6.617283950617284,11.11111111111111,CEREALS RTE,cereals,
8267,CEREALS RTE,"CEREALS RTE,GENERAL MILLS,FRSTD CHEERIOS",83.2,393,7.1,3.6,84.5528455284553,7.215447154471545,8.231707317073171,CEREALS RTE,cereals,
8268,CEREALS RTE,"CEREALS RTE,GENERAL MILLS,FRANKENBERRY",88.9,400,3.3,3.3,89.23462986198244,3.312421580928482,7.452948557089084,CEREALS RTE,cereals,
8269,CEREALS RTE,"CEREALS RTE,GENERAL MILLS,COUNTRY CORN FLAKES",84.1,367,6.7,1.7,88.87714663143989,7.080581241743726,4.04227212681638,CEREALS RTE,cereals,
8270,CEREALS RTE,"CEREALS RTE,GENERAL MILLS,COUNT CHOCULA",88.4,400,3.3,3.3,89.18032786885246,3.3291298865069354,7.490542244640605,CEREALS RTE,cereals,
8273,CEREALS RTE,"CEREALS RTE,GENERAL MILLS,BOO BERRY",88.8,400,3.3,3.3,89.22381311228335,3.3157498116051247,7.46043707611153,CEREALS RTE,cereals,
8277,CEREALS RTE,"CEREALS RTE,GENERAL MILLS,NATURE VALLEY LOFAT FRUIT GRANOLA",80.0,386,8.0,4.6,81.34214539908491,8.134214539908491,10.523640061006608,CEREALS RTE,cereals,
8278,CEREALS RTE,"CEREALS RTE,GENERAL MILLS,KABOOM",87.3,400,3.3,3.3,89.05891354246366,3.366488140780413,7.57459831675593,CEREALS RTE,cereals,
8283,CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S JUST RIGHT FRUIT & NUT",81.7,366,7.0,3.3,84.99349804941482,7.282184655396619,7.724317295188557,CEREALS RTE,cereals,
8284,CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S LOFAT GRANOLA W/ RAISINS",81.7,384,7.8,5.0,81.09181141439207,7.741935483870968,11.166253101736972,CEREALS RTE,cereals,
8288,CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S RICE KRISPIES TREATS CRL",84.7,399,4.8,4.6,84.82724086129194,4.8072108162243365,10.365548322483724,CEREALS RTE,cereals,
8289,CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S STRAWBERRY MINI-WHEATS",80.0,335,9.1,2.0,85.47008547008548,9.722222222222223,4.807692307692308,CEREALS RTE,cereals,
8293,CEREALS RTE,"CEREALS RTE,QUAKER,QUAKER APPL ZAPS",88.7,393,3.7,3.5,88.45674395412615,3.6898529045125903,7.853403141361256,CEREALS RTE,cereals,
